id,goals,totalShots,onTargetScoringAttempt,shotOffTarget,totalContest,wonContest,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,bigChanceMissed,totalCross,accurateCross,totalPass,accuratePass,touches,duelWon,duelLost,hitWoodwork,minutesPlayed,name,world_cups_played,first_world_cup,last_world_cup,matches_played
1421568,1.0,7,2.0,3.0,13.0,4.0,8.0,15.0,7.0,0.0,0.0,0.0,8.0,1.0,209.0,168.0,323.0,37.0,39.0,1.0,414.0,Mutiu Adepoju,2,1994,1998,7
1421569,0.0,1,0.0,0.0,2.0,1.0,5.0,12.0,4.0,0.0,1.0,0.0,9.0,2.0,119.0,105.0,227.0,22.0,27.0,0.0,367.0,Emil Kremenliev,1,1994,1994,5
1421570,0.0,0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,272.0,238.0,365.0,20.0,19.0,0.0,660.0,Petar Hubchev,1,1994,1994,7
1421571,0.0,1,0.0,1.0,4.0,2.0,10.0,11.0,2.0,0.0,0.0,0.0,9.0,1.0,210.0,176.0,338.0,37.0,26.0,0.0,504.0,Tsanko Tsvetanov,1,1994,1994,6
1421572,0.0,8,2.0,4.0,2.0,2.0,9.0,17.0,4.0,0.0,0.0,0.0,2.0,0.0,222.0,160.0,365.0,52.0,42.0,0.0,763.0,Trifon Ivanov,2,1994,1998,9
1421573,0.0,24,7.0,12.0,44.0,31.0,26.0,13.0,26.0,1.0,2.0,4.0,70.0,15.0,585.0,484.0,897.0,100.0,75.0,2.0,900.0,Krasimir Balakov,2,1994,1998,10
1421574,2.0,7,5.0,1.0,36.0,20.0,19.0,11.0,12.0,0.0,1.0,1.0,8.0,0.0,350.0,273.0,534.0,81.0,79.0,0.0,615.0,Yordan Letchkov,1,1994,1994,7
1421575,0.0,7,3.0,4.0,9.0,7.0,9.0,16.0,6.0,2.0,2.0,0.0,6.0,2.0,424.0,347.0,571.0,60.0,56.0,0.0,715.0,Zlatko Yankov,2,1994,1998,8
1421576,1.0,6,5.0,1.0,19.0,10.0,3.0,9.0,3.0,1.0,0.0,0.0,10.0,1.0,186.0,147.0,271.0,25.0,31.0,0.0,361.0,Daniel Borimirov,2,1994,1998,7
1421577,1.0,29,10.0,13.0,21.0,4.0,6.0,12.0,9.0,1.0,1.0,1.0,10.0,0.0,186.0,131.0,322.0,26.0,73.0,2.0,817.0,Emil Kostadinov,2,1994,1998,10
1421578,6.0,43,13.0,18.0,24.0,16.0,23.0,17.0,11.0,0.0,3.0,3.0,17.0,2.0,279.0,205.0,477.0,54.0,64.0,1.0,869.0,Hristo Stoichkov,2,1994,1998,10
1421582,0.0,1,1.0,0.0,9.0,7.0,11.0,3.0,2.0,0.0,0.0,0.0,6.0,0.0,249.0,216.0,353.0,29.0,17.0,0.0,419.0,Iliyan Kiryakov,1,1994,1994,6
1421584,0.0,4,1.0,2.0,4.0,2.0,12.0,4.0,3.0,1.0,0.0,1.0,4.0,2.0,196.0,155.0,289.0,37.0,25.0,0.0,385.0,Ivaylo Yordanov,2,1994,1998,7
1421587,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Petar Mitharski,1,1994,1994,1
1421590,0.0,3,0.0,3.0,13.0,6.0,10.0,16.0,6.0,1.0,1.0,0.0,14.0,2.0,320.0,258.0,520.0,62.0,51.0,0.0,765.0,José Antonio Chamot,3,1994,2002,9
1421591,0.0,2,1.0,0.0,2.0,1.0,3.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,179.0,162.0,248.0,37.0,18.0,0.0,360.0,Fernando Cáceres,1,1994,1994,4
1421592,0.0,18,4.0,11.0,29.0,18.0,21.0,12.0,24.0,2.0,1.0,2.0,12.0,4.0,665.0,562.0,870.0,74.0,68.0,0.0,914.0,Diego Simeone,3,1994,2002,11
1421593,0.0,5,1.0,2.0,23.0,13.0,7.0,12.0,2.0,1.0,0.0,0.0,4.0,2.0,377.0,349.0,479.0,46.0,37.0,0.0,360.0,Fernando Redondo,1,1994,1994,4
